Covidence #,Study ID,Title,Reviewer Name,CASE CONTROL: Selection: 1) Is the case definition adequate?,CASE CONTROL: Selection: 1) Is the case definition adequate? supporting text,CASE CONTROL: Selection: 2) Representativeness of the cases,CASE CONTROL: Selection: 2) Representativeness of the cases supporting text,CASE CONTROL: Selection: 3) Selection of Controls,CASE CONTROL: Selection: 3) Selection of Controls supporting text,CASE CONTROL: Selection: 4) Definition of Controls,CASE CONTROL: Selection: 4) Definition of Controls supporting text,CASE CONTROL: Comparability: 1) Comparability of cases and controls on the basis of the design or analysis,CASE CONTROL: Comparability: 1) Comparability of cases and controls on the basis of the design or analysis supporting text,COHORT: Selection: 1) Representativeness of the cancer cohort,COHORT: Selection: 1) Representativeness of the cancer cohort supporting text,COHORT: Selection: 2) Selection of the non exposed cohort,COHORT: Selection: 2) Selection of the non exposed cohort supporting text,COHORT: Selection: 3) Ascertainment of exposure,COHORT: Selection: 3) Ascertainment of exposure supporting text,COHORT: Selection: 4) Demonstration that outcome of interest [COVID-19 diagnosis/hospitalisation/severe disease] was not present at start of study,COHORT: Selection: 4) Demonstration that outcome of interest [COVID-19 diagnosis/hospitalisation/severe disease] was not present at start of study supporting text,COHORT: Comparability: 1) Comparability of cohorts on the basis of the design or analysis,COHORT: Comparability: 1) Comparability of cohorts on the basis of the design or analysis supporting text,COHORT: Outcome: 1) Assessment of outcome,COHORT: Outcome: 1) Assessment of outcome supporting text,COHORT: Outcome: 2) Was follow-up long enough for outcomes to occur,COHORT: Outcome: 2) Was follow-up long enough for outcomes to occur supporting text,COHORT: Outcome: 3) Adequacy of follow up of cohorts,COHORT: Outcome: 3) Adequacy of follow up of cohorts supporting text
67144,N 2021,Clinical Course of Cancer Patients With COVID-19: A Retrospective Cohort Study,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"We used anonymous data from the Mount Sinai Health System (MSHS) COVID-19 registry, which includes all patients with an encounter at a MSHS facility who were diagnosed with, under
investigation, or screened for COVID-19. MSHS includes multiple centres/hospitals. See link https://www.mountsinai.org/locations",a) drawn from the same community as the exposed cohort Ø,"We used anonymous data from the Mount Sinai Health System (MSHS) COVID-19 registry, which includes all patients with an encounter at a MSHS facility who were diagnosed with, under
investigation, or screened for COVID-19. See figure 1 in paper ",a) secure record (eg surgical records) Ø,"Patients were identified as having cancer if they had any International Classification of Diseases (ICD)-10-CM code starting with “C” that was listed as “active” in their medical record. This included patients with a newly diagnosed cancer or those on an active course of treatment, but not those with a history of cancer. Leukemia, lymphoma, and myeloma were classified as nonsolid tumors. Additional comorbidities, including asthma, chronic obstructive pulmonary disease, hypertension, obesity, diabetes, chronic kidney disease, heart failure, atrial fibrillation, liver disease, and coronary artery disease, were also defined if they were
active in the patient’s medical record",b) no,"To exclude asymptomatic cancer patients who had COVID-19 tests during encounters unrelated to COVID-19 and to identify patients who were likely to have data on clinical outcomes, only those with
an inpatient or emergency encounter (n ¼ 5637) were included in this analysis. ",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"Outcomes were also assessed using a 1:2 optimal propensity score (21) matched analysis (maximum difference ¼ 0.001), matching on age, sex, and number of comorbidities.  ","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)",". COVID-19–positive patients with blood work performed were selected (n = 6144). To exclude asymptomatic cancer patients who had COVID-19 tests during encounters unrelated to COVID-19 and to identify patients who were likely to have data on clinical  outcomes, only those with
an inpatient or emergency encounter (n ¼ 5637) were included in this analysis",b) no,"No evidence of how long follow up time was, all given is ""Patient encounters from March 1, 2020, to May 27, 2020, were
considered.""",d) no statement,""
67122,M 2022,Outcomes of SARS-CoV-2 infection in cancer versus non-cancer-patients: A population-based study in northeastern Italy,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,"",d) no statement,""
66861,M 2022,Evaluation of COVID-19 Mortality and Adverse Outcomes in US Patients with or Without Cancer,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",a) yes (the study encompass sickness period of all patients) Ø,"",a) complete follow up - all subjects accounted for Ø,""
66531,C 2021,One-year mortality and consequences of COVID-19 in cancer patients: A cohort study,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",a) yes (the study encompass sickness period of all patients) Ø,"","b) subjects lost to follow up unlikely to introduce bias (less than 10% lost to follow up, or description provided of those lost) Ø",""
66333,B 2021,COVID-19 amongst cancer patients: An experience from Oman,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",c) Study does not control for any factors,"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",b) no,"",d) no statement,""
66084,Y 2021,Clinical features and death risk factors in COVID-19 patients with cancer: a retrospective study,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,"",d) no statement,""
65975,G 2021,Immunological alternation in COVID-19 patients with cancer and its implications on mortality,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"This is a multi-center, retrospective, cohort study that included 2,425 consecutive patients admitted between February 4 and March 31, 2020, in two branches of Tongji hospital (Optical Valley Branch and Sino-French New City Branch",a) drawn from the same community as the exposed cohort Ø,"This is a multi-center, retrospective, cohort study that included 2,425 consecutive patients admitted between February 4 and March 31, 2020, in two branches of Tongji hospital (Optical Valley Branch and Sino-French New City Branch",a) secure record (eg surgical records) Ø,"Data were collected by review of electronic medical records for demographic, clinical, immunological, and survival informa- tion. A standardized form was employed during data collec- tion, and every fragment of data was cross-checked by two authors",b) no,"Of all patients, 78 were excluded for insufficient diagnosis according to the 7th edition of the Diagnosis and Treatment Protocol of COVID-1917 by the National Health Commission, 205 were excluded because they were transferred from mobile cabin hospitals for the requirement of isolation, ****31 were excluded due to death within 24 hours of admission***, 35 were excluded given under 18 years old, five were excluded due to unknown cancer history, and 19 were excluded for inaccessible survival time. Overall, 2,052 patients were included in this study, including 93 patients with cancer and 1,959 without cancer",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"Propensity-score matching 1 matched clinical confound- ing factors including sex, age, symptoms, and comorbidities, in which 93 patients with cancer and 930 patients without cancer were included. Propensity-score matching 2 added immunolo- gical indices (high-sensitivity C-reactive protein (hsCRP), pro- calcitonin (PCT), ferritin, interleukin (IL)-1β, IL-2 R, IL-6, IL-8, IL-10, tumor necrosis factor α (TNF-α), and total lymphocytes) into matching on the basis of propensity-score matching 1.",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"Data were collected by review of electronic medical records for demographic, clinical, immunological, and survival informa- tion. A standardized form was employed during data collec- tion, and every fragment of data was cross-checked by two authors",a) yes (the study encompass sickness period of all patients) Ø,Death or discharge was used as the clinical outcome of the study.,a) complete follow up - all subjects accounted for Ø, the median time from illness onset to death or discharge was 36 days [25–52] for cancer cohort versus 34 days [26–42] for non-cancer cohort.
65873,Y 2021,Systemic anti-cancer therapy and metastatic cancer are independent mortality risk factors during two uk waves of the covid-19 pandemic at university college london hospital,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,"",d) no statement,""
65844,A 2021,"Impact of active cancer on COVID-19 survival: a matched-analysis on 557 consecutive patients at an Academic Hospital in Lombardy, Italy",Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"","c) selected group of users e.g. dock-workers, radiograph technicians, ethnic race , single centre",single tertiary centre,a) drawn from the same community as the exposed cohort Ø,same tertiary centre,a) secure record (eg surgical records) Ø,medical records,b) no,recruited at positive covid test,c) Study does not control for any factors,mHR is calculated for whole population (not the propensity matched population) and between whole cancer vs whole control cohorts p for age = .012,"a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,one patient with non-lung non-metastatic cancer was still in hospital at the end of follow up (see kaplan meiers). 12 control patients were also still admitted,"b) subjects lost to follow up unlikely to introduce bias (less than 10% lost to follow up, or description provided of those lost) Ø",13/557 pts with incomplete follow up
65461,M 2021,SARS-CoV-2 Viral Load Is Correlated With the Disease Severity and Mortality in Patients With Cancer,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",a) truly representative of the average cancer patient in the community (Multicentre and multinational) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",c) Study does not control for any factors,"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,"","b) subjects lost to follow up unlikely to introduce bias (less than 10% lost to follow up, or description provided of those lost) Ø",""
64926,C 2021,Severity of COVID-19 in Cancer patients versus patients without Cancer: A Propensity Score Matching Analysis,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"","c) selected group of users e.g. dock-workers, radiograph technicians, ethnic race , single centre","",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",a) yes (the study encompass sickness period of all patients) Ø,"",a) complete follow up - all subjects accounted for Ø,""
64534,C 2021,More Severe COVID-19 in Patients With Active Cancer: Results of a Multicenter Cohort Study,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,"",d) no statement,""
63831,G 2021,Covid-19 intensive care admissions and mortality among swedish patients with cancer,Consensus,"a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",a) consecutive or obviously representative series of cases Ø,"",a) community controls Ø,"",b) no description of source,"","","","","","","","","","","","","","","","","","",""
63774,M 2021,COVID-19 in cancer patients: clinical characteristics and outcome-an analysis of the LEOSS registry,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",a) truly representative of the average cancer patient in the community (Multicentre and multinational) Ø,"LEOSS is a multicenter cohort study, which is character-
ized by an open and collaborative approach. By now, LEOSS registers 256 active European and non-European study sites",a) drawn from the same community as the exposed cohort Ø,"A total of 435 cancer patients with SARS-CoV-2 infection
treated at a LEOSS study site were included in our analysis. In order to compare clinical courses of cancer and non-
cancer patients, the group of cancer patients was compared
to a total of 2636 non-cancer patients included into LEOSS
in the same time period.",c) written self report,"Anonymized data was collected in an electronic case report form (eCRF) using the online platform ClinicalSurveys.net, which was developed by the University Hospital of Cologne (UHC).",b) no,no evidence that covid-19 was not present prior to study start date ,b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"Age-, sex- and comorbidity-adjusted analysis was performed. Primary endpoint was COVID-19-related mortality. However, the data that was extracted was from the analyses NOT controlled for these factors. The cohorts were only matched for sex.","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","We retrospectively assessed the data of cancer patients and
a non-cancer control cohort with (PCR) confirmed SARS-
CoV-2 infection, who were hospitalized or treated in an outpatient setting at a LEOSS partner site",b) no,fig.1 shows that not all patients recovered during the study period ,"b) subjects lost to follow up unlikely to introduce bias (less than 10% lost to follow up, or description provided of those lost) Ø",patients were still in ICU at the end of the study follow up period (as shown by the Kaplan Meier plots) so there was not complete follow up but the follow up was >90% and <100%
62340,L 2020,SARS-CoV-2 Viral Load Predicts Mortality in Patients with and without Cancer Who Are Hospitalized with COVID-19,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",a) yes (the study encompass sickness period of all patients) Ø,"",a) complete follow up - all subjects accounted for Ø,""
62182,C 2020,Cancer History and Systemic Anti-Cancer Therapy Independently Predict COVID-19 Mortality: A UK Tertiary Hospital Experience,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"","c) selected group of users e.g. dock-workers, radiograph technicians, ethnic race , single centre","""We included patients at a London tertiary hospital with laboratory confirmed SARS-CoV-2 infection"".",a) drawn from the same community as the exposed cohort Ø,Matched control set of patients were randomly selected from same hospital.,a) secure record (eg surgical records) Ø,"""Anonymized retrospective data was collected from electronic health records of the University College London Hospitals NHS Foundation Trust"".",b) no,recruited at positive covid test,b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"Matched cohort is age- and sex- matched. 

""Univariate
analysis was used to obtain crude hazard ratios for mortality
following COVID-19 for each pre-morbid risk factor. Risk
factors which were statistically significant at univariate analysis
(age, South Asian ethnicity, cardiovascular disease, chronic
kidney disease, hypertension, and cerebrovascular disease) were
adjusted for in a multivariate model when assessing the
independent impact of cancer history""","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)",pcr,b) no,no indication of how many patients were still in hospital on study end date,d) no statement,no indication of how many patients were still in hospital on study end date
62120,G 2020,COVID-19 severity and outcomes in patients with cancer: A matched cohort study,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,multiple centres although all in new york,a) drawn from the same community as the exposed cohort Ø,recruited from same centres,a) secure record (eg surgical records) Ø,Each record of active malignancy was independently reviewed and verified by two oncologists (G.B. and M.S.).,b) no,recruited at positive covid test,b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"Every cancer case was matched to
four COVID-19–positive noncancer controls. Matching was performed in terms of age, sex, and number of comorbid
conditions (obesity, diabetes, hypertension, chronic obstructive pulmonary disease [COPD], asthma, end-stage renal disease, cirrhosis, coronary artery disease, heart failure, and HIV). ",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"Hospitalization events that occurred through June 20, 2020, were identified on the basis of a review of clinical progress notes and discharge summaries.",b) no,66/585 pts still in hospital at end of study,c) follow up rate < 90% and no description of those lost,66/585 pts still in hospital at end of study = 11.3%
61946,M 2020,Outcomes of covid-19 patients under cytotoxic cancer chemotherapy in brazil,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"The majority of the cohort were individuals from the Brazilian Southeast Region, representing
51.9% (19,955/38,468) of non-cancer eligible controls, 65.2% (281/431) of active chemotherapy, and 55.2%
of non-active chemotherapy group. ",a) secure record (eg surgical records) Ø,"Information about COVID-19 and baseline patient information was extracted from SIVEP, which is the Brazilian Ministry of Health’s electronic registry for epidemiological surveillance of flu-like syndromes.'",b) no,"",a) study controls for age Ø,n.b. only in matched cohort which is pair matched against patients with both  active and non active chemo ,b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",a) yes (the study encompass sickness period of all patients) Ø,yes - were followed till either death or hospital discharge ,a) complete follow up - all subjects accounted for Ø,yes - were followed till either death or hospital discharge 
61922,V 2020,Case fatality rate of cancer patients with COVID-19 in a New York Hospital system,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"","c) selected group of users e.g. dock-workers, radiograph technicians, ethnic race , single centre","",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,"",d) no statement,""
61478,B 2020,Characteristics and Outcomes of 35 Breast Cancer Patients Infected With COVID-19,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",a) study controls for age Ø,"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",a) yes (the study encompass sickness period of all patients) Ø,"",a) complete follow up - all subjects accounted for Ø,""
61253,K 2020,Covid-19 in patients with hematological and solid cancers at a Comprehensive Cancer Center in Germany,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"","c) selected group of users e.g. dock-workers, radiograph technicians, ethnic race , single centre",Single centre,a) drawn from the same community as the exposed cohort Ø,Same hospital,a) secure record (eg surgical records) Ø,EHRs,b) no,Recruited at COVID-19 test positive,a) study controls for age Ø,cohorts matched for age when categorised into <65 65-75 and >75,"a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,3 cancer pts and 10 controls neither deceased nor discharged at end of study period,c) follow up rate < 90% and no description of those lost,3 cancer pts (7%) and 10 controls  (26%) neither deceased nor discharged at end of study period (17% of total cohort not accounted for)
59743,N 2020,Outcomes of the 2019 novel coronavirus in patients with or without a history of cancer: A multi-centre North London experience,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,Data collected from five North London hospitals.,a) drawn from the same community as the exposed cohort Ø,Data collected from five North London hospitals.,a) secure record (eg surgical records) Ø,"""Patient records were reviewed using the hospital 
electronic medical records (EMR) for clinical and 
radiological characteristics"".",b) no,Recruited at positive covid-19,b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"Matched control group: ""The median age of 
both cohorts was 74. Patients were predominantly 
male in both cohorts (67%). Excluding malig-
nancy, the median number of comorbidities was 
two in each group (Table1).""","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,Includes patients admitted and diagnosed with COVID-19 between 1 March and 30 April 2020 - thus follow-up of 0-2 months.,d) no statement,not stated
